Updated accumulative weights and branch weights:
Transaction 0: Accumulative weight = 22258179, Branch weight = 0
Transaction 1: Accumulative weight = 1686246, Branch weight = 0
Transaction 2: Accumulative weight = 1879215, Branch weight = 0
Transaction 3: Accumulative weight = 802800, Branch weight = 0
Transaction 4: Accumulative weight = 1517118, Branch weight = 0
Transaction 5: Accumulative weight = 770466, Branch weight = 0
Transaction 6: Accumulative weight = 4649001, Branch weight = 0
Transaction 7: Accumulative weight = 1167396, Branch weight = 0
Transaction 8: Accumulative weight = 1306170, Branch weight = 0
Transaction 9: Accumulative weight = 157911, Branch weight = 0
Transaction 10: Accumulative weight = 253868, Branch weight = 0
Transaction 11: Accumulative weight = 1516823, Branch weight = 0
Transaction 12: Accumulative weight = 897088, Branch weight = 0
Transaction 13: Accumulative weight = 778552, Branch weight = 0
Transaction 14: Accumulative weight = 467117, Branch weight = 0
Transaction 15: Accumulative weight = 429702, Branch weight = 0
Transaction 16: Accumulative weight = 1002554, Branch weight = 0
Transaction 17: Accumulative weight = 377657, Branch weight = 0
Transaction 18: Accumulative weight = 1479332, Branch weight = 0
Transaction 19: Accumulative weight = 375207, Branch weight = 0
Transaction 20: Accumulative weight = 1042806, Branch weight = 0
Transaction 21: Accumulative weight = 157910, Branch weight = 0
Transaction 22: Accumulative weight = 175524, Branch weight = 0
Transaction 23: Accumulative weight = 471433, Branch weight = 0
Transaction 24: Accumulative weight = 474227, Branch weight = 0
Transaction 25: Accumulative weight = 876660, Branch weight = 0
Transaction 26: Accumulative weight = 908248, Branch weight = 0
Transaction 27: Accumulative weight = 472147, Branch weight = 0
Transaction 28: Accumulative weight = 656585, Branch weight = 0
Transaction 29: Accumulative weight = 137261, Branch weight = 0
Transaction 30: Accumulative weight = 642333, Branch weight = 0
Transaction 31: Accumulative weight = 227970, Branch weight = 0
Transaction 32: Accumulative weight = 385997, Branch weight = 0
Transaction 33: Accumulative weight = 73162, Branch weight = 0
Transaction 34: Accumulative weight = 289773, Branch weight = 0
Transaction 35: Accumulative weight = 235663, Branch weight = 0
Transaction 36: Accumulative weight = 190630, Branch weight = 0
Transaction 37: Accumulative weight = 685390, Branch weight = 0
Transaction 38: Accumulative weight = 107619, Branch weight = 0
Transaction 39: Accumulative weight = 218895, Branch weight = 0
Transaction 40: Accumulative weight = 255548, Branch weight = 0
Transaction 41: Accumulative weight = 241322, Branch weight = 0
Transaction 42: Accumulative weight = 284614, Branch weight = 0
Transaction 43: Accumulative weight = 133129, Branch weight = 0
Transaction 44: Accumulative weight = 102361, Branch weight = 0
Transaction 45: Accumulative weight = 46899, Branch weight = 0
Transaction 46: Accumulative weight = 119419, Branch weight = 0
Transaction 47: Accumulative weight = 257744, Branch weight = 0
Transaction 48: Accumulative weight = 351720, Branch weight = 0
Transaction 49: Accumulative weight = 144717, Branch weight = 0
Transaction 50: Accumulative weight = 547901, Branch weight = 0
Transaction 51: Accumulative weight = 70035, Branch weight = 0
Transaction 52: Accumulative weight = 289356, Branch weight = 0
Transaction 53: Accumulative weight = 106228, Branch weight = 0
Transaction 54: Accumulative weight = 98893, Branch weight = 0
Transaction 55: Accumulative weight = 296422, Branch weight = 0
Transaction 56: Accumulative weight = 117046, Branch weight = 0
Transaction 57: Accumulative weight = 144239, Branch weight = 0
Transaction 58: Accumulative weight = 182997, Branch weight = 0
Transaction 59: Accumulative weight = 46062, Branch weight = 0
Transaction 60: Accumulative weight = 120212, Branch weight = 0
Transaction 61: Accumulative weight = 322082, Branch weight = 0
Transaction 62: Accumulative weight = 85807, Branch weight = 0
Transaction 63: Accumulative weight = 31033, Branch weight = 0
Transaction 64: Accumulative weight = 196950, Branch weight = 0
Transaction 65: Accumulative weight = 255547, Branch weight = 0
Transaction 66: Accumulative weight = 69034, Branch weight = 0
Transaction 67: Accumulative weight = 547900, Branch weight = 0
Transaction 68: Accumulative weight = 9816, Branch weight = 0
Transaction 69: Accumulative weight = 26263, Branch weight = 0
Transaction 70: Accumulative weight = 231507, Branch weight = 0
Transaction 71: Accumulative weight = 95748, Branch weight = 0
Transaction 72: Accumulative weight = 133087, Branch weight = 0
